Month,Florida Regular Conventional Retail Gasoline Prices Dollars per Gallon
23-Dec,2.986
23-Nov,3.041
23-Oct,3.305
23-Sep,3.592
23-Aug,3.713
23-Jul,3.411
23-Jun,3.356
23-May,3.439
23-Apr,3.53
23-Mar,3.278
23-Feb,3.3
23-Jan,3.315
22-Dec,3.044
22-Nov,3.41
22-Oct,3.258
22-Sep,3.383
22-Aug,3.629
22-Jul,4.249
22-Jun,4.723
22-May,4.346
22-Apr,4.02
22-Mar,4.104
22-Feb,3.439
22-Jan,3.186
21-Dec,3.194
21-Nov,3.268
21-Oct,3.141
21-Sep,3.006
21-Aug,2.945
21-Jul,2.952
21-Jun,2.886
21-May,2.816
21-Apr,2.787
21-Mar,2.759
21-Feb,2.44
21-Jan,2.266
20-Dec,2.139
20-Nov,1.974
20-Oct,2.096
20-Sep,2.11
20-Aug,2.069
20-Jul,2.065
20-Jun,1.948
20-May,1.77
20-Apr,1.804
20-Mar,2.129
20-Feb,2.327
20-Jan,2.455
19-Dec,2.421
19-Nov,2.351
19-Oct,2.384
19-Sep,2.398
19-Aug,2.376
19-Jul,2.568
19-Jun,2.468
19-May,2.635
19-Apr,2.697
19-Mar,2.504
19-Feb,2.242
19-Jan,2.146
18-Dec,2.229
18-Nov,2.496
18-Oct,2.747
18-Sep,2.723
18-Aug,2.724
18-Jul,2.715
18-Jun,2.732
18-May,2.781
18-Apr,2.636
18-Mar,2.488
18-Feb,2.542
18-Jan,2.461
17-Dec,2.342
17-Nov,2.43
17-Oct,2.417
17-Sep,2.673
17-Aug,2.247
17-Jul,2.145
17-Jun,2.256
17-May,2.303
17-Apr,2.384
17-Mar,2.231
17-Feb,2.223
17-Jan,2.335
16-Dec,2.237
16-Nov,2.089
16-Oct,2.182
16-Sep,2.145
16-Aug,2.06
16-Jul,2.124
16-Jun,2.276
16-May,2.175
16-Apr,2.026
16-Mar,1.942
16-Feb,1.73
16-Jan,1.889
15-Dec,1.993
15-Nov,2.079
15-Oct,2.122
15-Sep,2.125
15-Aug,2.346
15-Jul,2.578
15-Jun,2.653
15-May,2.574
15-Apr,2.458
15-Mar,2.424
15-Feb,2.186
15-Jan,2.141
14-Dec,2.552
14-Nov,2.848
14-Oct,3.137
14-Sep,3.278
14-Aug,3.313
14-Jul,3.485
14-Jun,3.554
14-May,3.625
14-Apr,3.682
14-Mar,3.505
14-Feb,3.35
14-Jan,3.371
13-Dec,3.401
13-Nov,3.26
13-Oct,3.272
13-Sep,3.441
13-Aug,3.499
13-Jul,3.502
13-Jun,3.454
13-May,3.433
13-Apr,3.49
13-Mar,3.708
13-Feb,3.697
13-Jan,3.402
12-Dec,3.293
12-Nov,3.349
12-Oct,3.625
12-Sep,3.756
12-Aug,3.623
12-Jul,3.303
12-Jun,3.322
12-May,3.568
12-Apr,3.885
12-Mar,3.819
12-Feb,3.648
12-Jan,3.413
11-Dec,3.255
11-Nov,3.348
11-Oct,3.378
11-Sep,3.521
11-Aug,3.598
11-Jul,3.589
11-Jun,3.582
11-May,3.832
11-Apr,3.752
11-Mar,3.544
11-Feb,3.182
11-Jan,3.092
10-Dec,2.984
10-Nov,2.817
10-Oct,2.758
10-Sep,2.642
10-Aug,2.66
10-Jul,2.633
10-Jun,2.649
10-May,2.816
10-Apr,2.841
10-Mar,2.8
10-Feb,2.678
10-Jan,2.742
9-Dec,2.633
9-Nov,2.678
9-Oct,2.51
9-Sep,2.469
9-Aug,2.57
9-Jul,2.536
9-Jun,2.605
9-May,2.249
9-Apr,2.084
9-Mar,1.983
9-Feb,1.959
9-Jan,1.813
8-Dec,1.724
8-Nov,2.171
8-Oct,3.127
8-Sep,3.733
8-Aug,3.767
8-Jul,4.028
8-Jun,3.995
8-May,3.765
8-Apr,3.471
8-Mar,3.284
8-Feb,3.07
8-Jan,3.094
7-Dec,3.062
7-Nov,3.104
7-Oct,2.826
7-Sep,2.775
7-Aug,2.739
7-Jul,2.908
7-Jun,2.991
7-May,3.035
7-Apr,2.836
7-Mar,2.558
7-Feb,2.251
7-Jan,2.27
6-Dec,2.316
6-Nov,2.231
6-Oct,2.247
6-Sep,2.637
6-Aug,2.947
6-Jul,2.932
6-Jun,2.822
6-May,2.871
6-Apr,2.798
6-Mar,2.458
6-Feb,2.317
6-Jan,2.362
5-Dec,2.218
5-Nov,2.371
5-Oct,2.825
5-Sep,2.882
5-Aug,2.482
5-Jul,2.275
5-Jun,2.163
5-May,2.19
5-Apr,2.27
5-Mar,2.1
5-Feb,1.931
5-Jan,1.883
4-Dec,1.923
4-Nov,2.014
4-Oct,1.995
4-Sep,1.875
4-Aug,1.816
4-Jul,1.922
4-Jun,1.982
4-May,1.953
4-Apr,1.804
4-Mar,1.743
4-Feb,1.658
4-Jan,1.606
3-Dec,0.948
3-Nov,0.932
3-Oct,0.956
3-Sep,0.994
3-Aug,1.054
3-Jul,0.972
3-Jun,0.936
3-May,0.916
3-Apr,1.017
3-Mar,1.13
3-Feb,1.127
3-Jan,0.992
2-Dec,0.892
2-Nov,0.883
2-Oct,0.961
2-Sep,0.908
2-Aug,0.889
2-Jul,0.889
2-Jun,0.876
2-May,0.91
2-Apr,0.947
2-Mar,0.787
2-Feb,0.622
2-Jan,0.617
1-Dec,0.592
1-Nov,0.668
1-Oct,0.783
1-Sep,0.904
1-Aug,0.857
1-Jul,0.881
1-Jun,1.035
1-May,1.123
1-Apr,1.045
1-Mar,0.939
1-Feb,0.981
1-Jan,0.964
Dec-00,0.939
Nov-00,0.999
Oct-00,0.994
Sep-00,1.003
Aug-00,0.992
Jul-00,1.056
Jun-00,1.077
May-00,1.009
Apr-00,0.994
Mar-00,1.053
Feb-00,0.939
Jan-00,0.875
