"year","fl_reg","month","Gag_catch","Gag_harvest","Gag_Discard","Gag_weight"
"2004","1","1",15777.8004261747,211.788099701702,15566.012326473,567.311629902544
"2004","1","10",1146350.10368341,139558.054008004,1006792.04967566,406530.999695639
"2004","1","11",208990.961893225,53691.0745415352,155299.887351715,149458.182831386
"2004","1","12",163161.417145708,32237.5337649185,130923.883380788,104682.799663825
"2004","1","2",17053.1799025943,4932.79569009428,12120.3842125,13001.9084171335
"2004","1","3",259002.261629621,110071.01962654,148931.242003071,389689.038493947
"2004","1","4",409058.575881156,86572.625266517,322485.95061306,306119.8724974
"2004","1","5",203319.580290621,92281.5268264449,111038.053464155,259247.099816884
"2004","1","6",123565.532859637,34961.3745346815,88604.1583248714,101215.657985296
"2004","1","7",220060.124275344,80890.3507842196,139169.773491123,266875.0108602
"2004","1","8",213499.409856639,63637.3484763333,149862.061380246,179184.052069446
"2004","1","9",38425.007427816,13330.2893588509,25094.718068951,49402.4349276989
"2004","2","1",1440006.69821163,237918.263067818,1202088.43514386,885689.670602023
"2004","2","10",426205.67706256,48714.3869126764,377491.290150405,137370.396222422
"2004","2","11",417260.6036059,74353.5066225855,342907.096983345,227764.898043665
"2004","2","12",441528.800572804,64193.5756577088,377335.224915243,181816.022775454
"2004","2","2",387406.178593454,44771.1166639511,342635.061929533,160532.271651651
"2004","2","3",552231.340833453,49244.583492398,502986.757341771,208811.428808684
"2004","2","4",705377.149846067,101272.027157453,604105.12268816,345939.720596274
"2004","2","5",729160.814837718,56431.0738944102,672729.740943308,167108.310438108
"2004","2","6",507451.663211843,15004.9953541214,492446.667857701,52093.2250536079
"2004","2","7",118817.399434229,14060.1216044221,104757.277829559,47051.812914199
"2004","2","8",269071.353579469,24976.1941978691,244095.1593816,72120.3213117656
"2004","2","9",33123.5313571033,5207.80723636325,27915.72412074,14633.8781611226
"2005","1","1",330697.794091238,155448.404464972,175249.389626266,611317.793166809
"2005","1","10",106264.252162832,4725.39778988534,101538.854372958,20405.9923489496
"2005","1","11",206484.523108797,10085.905869495,196398.617239302,35803.0755918604
"2005","1","12",251887.246439992,142318.581819924,109568.664620068,495681.440609865
"2005","1","2",92718.9026506986,34448.1173986876,58270.785252011,148423.3228118
"2005","1","3",152790.646600088,64845.0620528842,87945.584547204,242263.570026672
"2005","1","4",360206.194553183,123973.122967297,236233.071585872,426871.302938584
"2005","1","5",188453.50542302,33502.892099554,154950.613323457,108564.804156351
"2005","1","6",157744.578492476,22438.5523652197,135306.026127241,66953.3265991013
"2005","1","7",178686.204977893,19123.1505898136,159563.054388079,64654.2566387118
"2005","1","8",85216.8344157441,11354.3170165206,73862.517399233,36349.7007568294
"2005","1","9",178405.071713723,41620.7813579779,136784.290355741,120217.253354307
"2005","2","1",160148.353766152,20848.5421171872,139299.811648622,65897.8766984894
"2005","2","10",228251.839959445,20368.2079491444,207883.632010295,60682.6274919659
"2005","2","11",306400.933853794,46423.114127299,259977.819726495,121040.923617743
"2005","2","12",227944.472769115,21116.7598573191,206827.712911796,56682.3927236194
"2005","2","2",509871.699703676,55804.5614957907,454067.138207885,196676.77857417
"2005","2","3",682407.588373434,139942.111474359,542465.476898495,442061.994653117
"2005","2","4",508908.370184768,28345.456817766,480562.913367002,98732.0323290848
"2005","2","5",428730.181253545,39579.2018481536,389150.979405391,142794.11328356
"2005","2","6",171105.747995641,26223.9822388597,144881.765756829,77675.4536394284
"2005","2","7",44586.0362208113,4380.39979679127,40205.63642402,10080.4295287541
"2005","2","8",102432.431003195,17145.9721240164,85286.458879179,52305.4729303398
"2005","2","9",33374.40178701,3393.29964256,29981.10214445,9412.2175535672
"2006","1","1",0,0,0,0
"2006","1","10",20560.5145238458,2162.88017398579,18397.63434986,6240.018686897
"2006","1","11",77482.4738689734,33409.5872801083,44072.8865888651,87303.2511492287
"2006","1","12",453485.142159383,146314.742782683,307170.3993767,389069.354055484
"2006","1","2",256919.096098745,115442.49497495,141476.601123795,241962.052066187
"2006","1","3",38301.2702489104,19755.9321964684,18545.338052442,63111.2317005655
"2006","1","4",43495.7713166067,22049.2658059135,21446.5055106932,73825.9904505695
"2006","1","5",442453.115710767,89994.5512898117,352458.564420941,269709.545677472
"2006","1","6",168931.77572344,47877.0987911878,121054.676932252,175119.611320112
"2006","1","7",182471.781931923,66546.9687121164,115924.813219807,239838.514192544
"2006","1","8",11844.9925228204,3235.30306012842,8609.689462692,11689.3863423466
"2006","1","9",33525.1664508337,9622.38701104468,23902.779439789,25178.3576045095
"2006","2","1",110847.518374383,3569.77393512636,107277.744439253,9762.38974653442
"2006","2","10",58578.5868577916,1283.70653449763,57294.880323294,2584.3401192081
"2006","2","11",284562.705057751,22125.046806939,262437.65825068,62642.1040850348
"2006","2","12",595284.384450775,34645.6485084246,560638.73594235,113406.758369377
"2006","2","2",116392.113997307,9328.54286487265,107063.571132434,31483.4178005714
"2006","2","3",196127.171392811,22501.3144745909,173625.856918211,68179.8666826265
"2006","2","4",87138.5702510776,6335.9932408726,80802.577010205,24075.4664405746
"2006","2","5",32298.301815039,9188.48708403903,23109.814731,33171.7667160438
"2006","2","6",30861.3166674443,6227.98947455429,24633.32719289,24690.7892906563
"2006","2","7",20415.08435303,4408.75356097,16006.33079206,12644.1320845556
"2006","2","8",103370.27795188,4972.4109393,98397.86701258,16657.576646655
"2006","2","9",92573.50536446,4809.51364922,87763.99171524,11932.2075043692
"2007","1","1",99713.8592911903,4852.4551207503,94861.40417044,13681.0290483427
"2007","1","10",156857.375728721,7769.8134235339,149087.562305187,23272.4655684502
"2007","1","11",116618.657611418,29347.9520337952,87270.705577623,105249.863343264
"2007","1","12",168401.228418284,62443.2459729836,105957.9824453,208317.504976264
"2007","1","2",3212.728967019,540.996241919,2671.7327251,3872.68671251652
"2007","1","3",159686.815903672,32175.8292771988,127510.986626473,202706.69402367
"2007","1","4",79554.4115719458,40453.8577624888,39100.553809457,141293.609429995
"2007","1","5",94644.2643247792,25890.4000815462,68753.864243233,120728.434015542
"2007","1","6",119861.979953302,42221.4380100946,77640.541943207,272994.402589694
"2007","1","7",143867.345373285,38455.6570987151,105411.68827457,134596.564783926
"2007","1","8",114426.36734542,29947.0590002482,84479.308345172,102814.210754557
"2007","1","9",37947.7583576031,13153.2946733301,24794.463684273,50134.8735366972
"2007","2","1",166171.494552476,19737.00746373,146434.487088746,69624.3396170449
"2007","2","10",152803.432255843,2995.78505924545,149807.647196598,11046.4486838306
"2007","2","11",331709.306679142,24122.3501101586,307586.956568983,64836.3992700135
"2007","2","12",641049.624313649,40103.9206626481,600945.703651001,119663.149774906
"2007","2","2",53377.454655189,1123.195565742,52254.259089447,7118.43837595796
"2007","2","3",47562.6340702405,1810.02993335551,45752.604136885,7538.31240168372
"2007","2","4",138941.508740298,13401.6859341044,125539.822806132,37178.7924881838
"2007","2","5",100988.101290804,6276.77358634391,94711.32770446,18088.8118215826
"2007","2","6",73159.78382362,7822.62670814,65337.15711548,26945.0651627133
"2007","2","7",91257.5404328942,12871.4390869742,78386.10134592,45851.814928037
"2007","2","8",75562.4054459769,10324.5053188468,65237.90012713,42252.5923710871
"2007","2","9",95211.60486314,498.05487313,94713.54999001,1374.6314498388
"2008","1","1",47776.7191072,18209.1145512,29567.604556,66689.547624624
"2008","1","10",97778.0027710979,3741.52892701894,94036.473844079,13224.699447815
"2008","1","11",74326.4043351726,25774.7617852126,48551.64254996,83681.192972928
"2008","1","12",262850.026605707,14134.1897292525,248715.8368768,42843.9381839163
"2008","1","2",232083.011861083,89582.753205483,142500.2586556,273454.238107695
"2008","1","3",180940.090372857,119542.522203527,61397.56816933,655950.521026102
"2008","1","4",33512.7684320351,9682.60207498814,23830.166357047,37359.3222220803
"2008","1","5",196511.242014344,24807.1680277975,171704.073986546,82903.8212099468
"2008","1","6",371581.942136765,84169.2494793857,287412.692657379,320665.572161532
"2008","1","7",30157.5605138437,4595.65680187572,25561.903711968,14654.2494794918
"2008","1","8",58039.238441213,24506.388833778,33532.849607435,101757.108737921
"2008","1","9",272600.643211952,42739.7534614763,229860.889750472,122263.818194415
"2008","2","1",712103.46987793,64328.102724,647775.36715393,211887.970681514
"2008","2","10",228770.905824512,9210.88340035982,219560.02242413,25075.1776711374
"2008","2","11",620883.435609102,43837.4553200217,577045.980289542,155068.916327671
"2008","2","12",1055222.98295072,90034.2725975736,965188.71035086,232174.612032519
"2008","2","2",976324.528807257,56036.9545651213,920287.574242136,182069.142395635
"2008","2","3",413136.002785357,36317.1791694567,376818.823615965,94307.5833300988
"2008","2","4",272520.983452493,36947.5467942664,235573.436657523,117972.798421275
"2008","2","5",404809.984524163,22548.7356568431,382261.24886732,60362.6103013451
"2008","2","6",310549.30204514,23471.5269514905,287077.77509365,55398.0977275929
"2008","2","7",205856.066684914,5260.32925830371,200595.73742661,19369.8590370067
"2008","2","8",74112.17921606,5120.10253837,68992.07667769,14064.5622170195
"2008","2","9",228275.67118842,19903.5763798117,208372.09480871,61058.5377726977
"2009","1","1",105927.856362728,38324.3629252185,67603.493437509,114106.824809297
"2009","1","10",51426.0401132642,131.307870046231,51294.732243218,450.12306268546
"2009","1","11",260293.891573351,21788.0551080733,238505.836465278,58934.5025908434
"2009","1","12",5438.563188775,698.580738819,4739.982449956,2360.58193655149
"2009","1","2",70.23452522,0,70.23452522,0
"2009","1","3",14415.99484801,0,14415.99484801,0
"2009","1","4",87173.0018671774,19955.5047537474,67217.49711343,58960.1924269082
"2009","1","5",296817.472407988,37907.1657510553,258910.306656933,114504.271674713
"2009","1","6",134813.317788537,5132.56309871923,129680.754689849,22789.3474303711
"2009","1","7",150393.567707961,6480.12683332035,143913.440874641,25160.3080455273
"2009","1","8",56519.7551860705,7013.41804651554,49506.337139555,24216.1271873338
"2009","1","9",8013.71095056568,2464.86411325068,5548.846837315,6277.15333066889
"2009","2","1",611727.631425915,21005.9591757042,590721.672250211,58570.227367619
"2009","2","10",153315.718286547,16089.114827887,137226.60345866,44651.4567661336
"2009","2","11",408138.144308697,56691.2324886524,351446.91182004,201826.339109156
"2009","2","12",388184.729952531,43500.0162280607,344684.713724493,137396.724186454
"2009","2","2",162571.934222724,0,162571.934222724,0
"2009","2","3",107254.64010078,1241.89493612,106012.74516466,3731.8942830406
"2009","2","4",174928.638392975,12156.1098503442,162772.528542582,35993.2635112579
"2009","2","5",340963.49230527,28258.2497368241,312705.24256824,91877.4311802809
"2009","2","6",154763.803645421,11091.0787843421,143672.72486116,37460.7494387297
"2009","2","7",71118.5295810095,8605.86500658971,62512.66457435,33620.2611247591
"2009","2","8",106566.193260272,17287.4956189821,89278.69764129,48520.6367907816
"2009","2","9",123818.883286015,2811.15225866523,121007.73102735,10093.35349604
"2010","1","1",40013.3228495,3637.5748045,36375.748045,9603.19748388
"2010","1","10",165437.823266031,28486.6982845097,136951.124981848,78814.5491561333
"2010","1","11",24355.4637931335,159.174840993539,24196.28895214,650.412720032695
"2010","1","12",0,0,0,0
"2010","1","2",59896.9565476,0,59896.9565476,0
"2010","1","3",6625.681481553,0,6625.681481553,0
"2010","1","4",26969.6259194466,15362.2787582598,11607.347161162,54718.1823883712
"2010","1","5",57866.1977498636,19749.3223802306,38116.875369633,63245.7847180472
"2010","1","6",204091.047684973,34424.2861876126,169666.761497386,122028.846476824
"2010","1","7",81172.2222414382,15410.3652764042,65761.856965034,48624.5944614787
"2010","1","8",22943.7923395084,4588.52527895836,18355.26706055,10501.5050088212
"2010","1","9",21466.0449588288,2188.35068386477,19277.694274964,7672.74148537208
"2010","2","1",63263.2991983553,8703.0095263231,54560.289672173,26352.0214718734
"2010","2","10",127925.469814387,13405.2638027068,114520.20601168,46046.0024471927
"2010","2","11",723146.228681343,127356.044839243,595790.1838421,385486.892014956
"2010","2","12",105139.362776538,32145.1001234361,72994.262653129,93370.8411497088
"2010","2","2",65974.65973954,0,65974.65973954,0
"2010","2","3",19280.96639559,0,19280.96639559,0
"2010","2","4",430432.781593473,41623.7861911413,388808.995402355,130785.035585427
"2010","2","5",302681.245819565,68219.8980118488,234461.34780751,213801.42848654
"2010","2","6",124470.747201968,11612.2499211743,112858.49728056,37179.1590564678
"2010","2","7",89604.088621418,13657.759046558,75946.32957486,39969.1177426044
"2010","2","8",67517.4831838897,8225.59982011971,59291.88336377,27771.3080850267
"2010","2","9",184738.689848894,16678.1245725892,168060.565276305,51407.0615169145
"2011","1","1",51765.5691877265,6672.04147970447,45093.527708022,16613.3832845075
"2011","1","10",42228.8529109686,27955.8721034226,14272.980807546,70861.6846160804
"2011","1","11",20417.89077246,5969.499168278,14448.391604182,20607.597428803
"2011","1","12",158.2686002683,0,158.2686002683,0
"2011","1","2",0,0,0,0
"2011","1","3",24516.937204722,0,24516.937204722,0
"2011","1","4",138392.161925863,33736.7063747009,104655.455551162,85963.6185968447
"2011","1","5",79637.956330403,31818.18339444,47819.772935963,85436.7116010842
"2011","1","6",197080.83296499,3246.449415,193834.38354999,10388.638128
"2011","1","7",47064.868020655,0,47064.868020655,0
"2011","1","8",14134.38227778,1521.2462813109,12613.1359964691,6813.74151056726
"2011","1","9",36188.4600723174,17386.2965137394,18802.163558578,60897.5874973137
"2011","2","1",128843.460566201,8522.60543681106,120320.855129155,23019.9242501935
"2011","2","10",111809.28921934,15336.1608049291,96473.128414367,49569.8311001027
"2011","2","11",780206.13482055,77743.5650554,702462.56976515,231644.537179705
"2011","2","12",100205.442389663,0,100205.442389663,0
"2011","2","2",39830.257714225,0,39830.257714225,0
"2011","2","3",307066.235488357,0,307066.235488357,0
"2011","2","4",354774.110913726,6315.36317630174,348458.747737424,21508.7929468044
"2011","2","5",217348.41208728,26000.0244264,191348.38766088,68130.667027525
"2011","2","6",57646.45291013,782.67737626,56863.77553387,2543.701472845
"2011","2","7",90688.056339747,0,90688.056339747,0
"2011","2","8",31401.34527661,0,31401.34527661,0
"2011","2","9",90185.6071595575,12229.1960776775,77956.41108188,50248.2337946917
"2012","1","1",9755.4975840695,0,9755.4975840695,0
"2012","1","10",34142.2985719043,13347.8565231803,20794.442048724,42880.4355882711
"2012","1","11",32128.071851061,0,32128.071851061,0
"2012","1","12",8844.880783861,0,8844.880783861,0
"2012","1","2",0,0,0,0
"2012","1","3",10102.2192061153,0,10102.2192061153,0
"2012","1","4",82070.8943251869,33621.4829034,48449.4114217869,118587.773269278
"2012","1","5",187707.907653649,35010.9039583798,152697.003695309,91789.8843844135
"2012","1","6",152413.694751497,24964.3346946561,127449.360057039,76352.503873582
"2012","1","7",36857.871835028,21597.0214185778,15260.850416466,78911.3657444463
"2012","1","8",18297.0270828338,9369.8212921708,8927.205790663,27656.58027797
"2012","1","9",58733.2894528464,6565.7175467694,52167.571906077,20057.7379606686
"2012","2","1",189392.376300731,0,189392.376300731,0
"2012","2","10",112959.912659666,34785.3250624812,78174.587597174,110326.005143717
"2012","2","11",48979.981640742,0,48979.981640742,0
"2012","2","12",69584.332831888,0,69584.332831888,0
"2012","2","2",113768.720774197,0,113768.720774197,0
"2012","2","3",45676.807218517,1056.63784186,44620.169376657,3243.8781745102
"2012","2","4",294735.217468473,0,294735.217468473,0
"2012","2","5",109372.07886121,0,109372.07886121,0
"2012","2","6",41450.20037146,2205.7243077,39244.47606376,6828.9224566392
"2012","2","7",195483.467408204,47750.587853203,147732.879555001,152109.373061064
"2012","2","8",26614.4604847331,5968.37814212112,20646.082342612,20682.1822223118
"2012","2","9",171802.760109947,17420.2768944943,154382.483215488,59794.0358959966
"2013","1","1",26445.3412170072,0,26445.3412170072,0
